nombre_run,checkpoint_confirmado,detalle,coincidencia_test,F1,ICM,ICMSoft
2.1_run1_hard,vista_e_task21_max512_R,thr=0.46,99.7%,0.8632,+0.4088,+0.3878
2.1_run1_soft,M3_vista_E_best,blend 0.6*M3_vista_E + 0.4*Gemini sobre P(YES),100.0%,0.8560,+0.3733,+0.5957
2.1_run2_hard,vista_e_task21_longformer,thr=0.39,99.9%,0.8676,+0.4008,+0.5428
2.1_run2_soft,vista_e_task21_longformer,directo (sin blend ni threshold),max|Δ|=0.006,0.8676,+0.4008,+0.5428
2.1_run3_hard,vista_e_task21_max512,thr=0.51,100.0%,0.8715,+0.3944,+0.3025
2.1_run3_soft,vista_e_task21_longformer_R,directo (sin blend ni threshold),max|Δ|=0.006,0.8790,+0.3801,+0.5334
2.2_run1_hard,vista_e_task22_longformer,thr=(0.425;0.35),96.4%,0.6051,+0.0984,
2.2_run1_soft,vista_e_task22_best,blend 0.6*task22_best + 0.4*Gemini (raw),96.7%,,,-0.1572
2.2_run2_hard,vista_e_task22_max512,thr=(0.475;0.300),93.7%,0.5496,+0.0790,
2.2_run2_soft,vista_e_task22_longformer,+ Platt por clase,88.4%,,,-0.3294
2.2_run3_hard,vista_e_task22_best,blend 0.6*task22_best + 0.4*Gemini + thr=(0.475;0.500),98.6%,0.5836,+0.0228,
2.2_run3_soft,vista_e_task22_max512,+ Platt por clase,79.2%,,,-0.4386
2.3_run1_hard,vista_e_task23_max512_v2,thr=0.15 (sin gate sexista; argmax si vacio),99.5%,0.7146,+0.3417,
2.3_run1_soft,vista_e_task23_longformer,directo (sin threshold),83.1%,0.7051,+0.2647,-3.4947
2.3_run2_hard,vista_e_task23_max512,thr=0.15 (sin gate sexista; argmax si vacio),99.4%,0.7137,+0.3363,
2.3_run2_soft,vista_e_task23_max512,directo (sin threshold),77.8%,0.7137,+0.3363,-4.5932
2.3_run3_hard,vista_e_task23_max512_R,thr=0.15 (sin gate sexista; argmax si vacio),99.9%,0.7135,+0.3331,
2.3_run3_soft,vista_e_task23_longformer_v2,directo (sin threshold),77.7%,0.7029,+0.2455,-5.1343
