subtask,model,clase,metodo,ECE_hard,MCE_hard,Brier_hard,ECE_soft,Brier_soft,n
2.1,Vista E (raw),GLOBAL,raw,0.1084,0.2316,0.1397,0.0294,0.0481,598
2.1,Vista E (temperature T=1.149),GLOBAL,temperature,0.133,0.253,0.1451,0.019,0.0477,598
2.1,Gemini crudo,GLOBAL,raw,0.0814,0.55,0.1438,0.1996,0.0915,598
2.1,Ensemble 0.6E+0.4G,GLOBAL,blend_0.6/0.4,0.0748,0.2869,0.1287,0.0858,0.0528,598
2.2,VistaE22 raw,NO,raw,0.0968,0.2371,0.1736,0.0243,0.0474,598
2.2,VistaE22 Platt,NO,platt_per_class,0.0396,0.1163,0.1604,0.1055,0.0613,598
2.2,VistaE22 raw,DIRECT,raw,0.119,0.362,0.1851,0.0751,0.0492,598
2.2,VistaE22 Platt,DIRECT,platt_per_class,0.0524,0.1105,0.1628,0.0665,0.0478,598
2.2,VistaE22 raw,JUDGEMENTAL,raw,0.1782,0.3845,0.1238,0.0874,0.0427,598
2.2,VistaE22 Platt,JUDGEMENTAL,platt_per_class,0.0164,0.4361,0.0892,0.0949,0.0428,598
2.2,VistaE22 raw,MACRO_OvR,raw,0.1314,,,,,598
2.2,VistaE22 Platt,MACRO_OvR,platt_per_class,0.0361,,,,,598
2.3,VistaE23 raw,IDEOLOGICAL-INEQUALITY,raw,0.0828,0.2039,0.126,0.1276,0.0446,598
2.3,VistaE23 Platt,IDEOLOGICAL-INEQUALITY,platt_per_class,0.043,0.1829,0.1206,0.0928,0.0463,598
2.3,VistaE23 raw,STEREOTYPING-DOMINANCE,raw,0.0669,0.1885,0.1694,0.1026,0.0395,598
2.3,VistaE23 Platt,STEREOTYPING-DOMINANCE,platt_per_class,0.0337,0.1238,0.1631,0.1357,0.0555,598
2.3,VistaE23 raw,OBJECTIFICATION,raw,0.1004,0.2062,0.1364,0.0935,0.0368,598
2.3,VistaE23 Platt,OBJECTIFICATION,platt_per_class,0.044,0.2299,0.1255,0.1125,0.0558,598
2.3,VistaE23 raw,SEXUAL-VIOLENCE,raw,0.1184,0.1874,0.0785,0.1521,0.0454,598
2.3,VistaE23 Platt,SEXUAL-VIOLENCE,platt_per_class,0.0279,0.2574,0.0666,0.0545,0.0361,598
2.3,VistaE23 raw,MISOGYNY-NON-SEXUAL-VIOLENCE,raw,0.1032,0.4459,0.0925,0.1226,0.0321,598
2.3,VistaE23 Platt,MISOGYNY-NON-SEXUAL-VIOLENCE,platt_per_class,0.0247,0.4548,0.0826,0.0315,0.0213,598
2.3,VistaE23 raw,MACRO_OvR,raw,0.0944,,,,,598
2.3,VistaE23 Platt,MACRO_OvR,platt_per_class,0.0347,,,,,598
